,peak_val_dBm,peak_height_dB,f_deviation_pct_span,f_hz,f_ghz,f_rf,f_sg_rf,f_if,f_lo,f_sg_lo,lo_harm,try_no
120,-106.4483185,28.461608849999976,0.0,47200000000.0,47.2,47200000000.0,11800000000,14000000000.0,33200000000.0,8300000000,1,3.0
121,-106.5446167,28.067489599999988,0.0,47260000000.0,47.26,47260000000.0,11815000000,14000000000.0,33260000000.0,8315000000,1,7.0
122,-106.5975723,28.084701550000005,0.04761904761905189,47320000000.0,47.32,47320000000.0,11830000000,14000000000.0,33320000000.0,8330000000,1,2.0
123,-106.5535812,28.198898350000007,0.04761904761905189,47380000000.0,47.38,47380000000.0,11845000000,14000000000.0,33380000000.0,8345000000,1,6.0
124,-107.1752777,27.373420699999983,0.04761904761905189,47440000000.0,47.44,47440000000.0,11860000000,14000000000.0,33440000000.0,8360000000,1,6.0
125,-106.7575378,28.09694675,0.0,47500000000.0,47.5,47500000000.0,11875000000,14000000000.0,33500000000.0,8375000000,1,12.0
126,-107.2017975,27.438392599999986,-0.04761904761904634,47560000000.0,47.56,47560000000.0,11890000000,14000000000.0,33560000000.0,8390000000,1,3.0
127,-107.0089722,27.60823814999999,0.04761904761905189,47620000000.0,47.62,47620000000.0,11905000000,14000000000.0,33620000000.0,8405000000,1,10.0
128,-106.9518661,27.914329550000005,0.0,47680000000.0,47.68,47680000000.0,11920000000,14000000000.0,33680000000.0,8420000000,1,2.0
129,-107.3657303,27.48999785000001,0.0,47740000000.0,47.74,47740000000.0,11935000000,14000000000.0,33740000000.0,8435000000,1,3.0
130,-106.7667236,28.034988449999986,0.0,47800000000.0,47.8,47800000000.0,11950000000,14000000000.0,33800000000.0,8450000000,1,2.0
131,-107.0697098,27.838912950000008,0.0,47860000000.0,47.86,47860000000.0,11965000000,14000000000.0,33860000000.0,8465000000,1,1.0
132,-106.4791565,28.269126850000006,0.04761904761905189,47920000000.0,47.92,47920000000.0,11980000000,14000000000.0,33920000000.0,8480000000,1,3.0
133,-106.1808777,28.544616700000006,0.0,47980000000.0,47.98,47980000000.0,11995000000,14000000000.0,33980000000.0,8495000000,1,2.0
134,-105.778923,28.879692099999986,0.0,48040000000.0,48.04,48040000000.0,12010000000,14000000000.0,34040000000.0,8510000000,1,2.0
135,-104.8099365,29.92681125,0.0,48100000000.0,48.1,48100000000.0,12025000000,14000000000.0,34100000000.0,8525000000,1,2.0
136,-104.3346252,30.305427599999973,0.0,48160000000.0,48.16,48160000000.0,12040000000,14000000000.0,34160000000.0,8540000000,1,4.0
137,-103.6922836,30.934593249999978,0.0,48220000000.0,48.22,48220000000.0,12055000000,14000000000.0,34220000000.0,8555000000,1,2.0
138,-102.7006378,32.02389530000001,0.0,48280000000.0,48.28,48280000000.0,12070000000,14000000000.0,34280000000.0,8570000000,1,3.0
139,-102.0180283,32.51795955,0.0,48340000000.0,48.34,48340000000.0,12085000000,14000000000.0,34340000000.0,8585000000,1,2.0
140,-100.8035812,33.92671204999999,-0.04761904761904634,48400000000.0,48.4,48400000000.0,12100000000,14000000000.0,34400000000.0,8600000000,1,2.0
141,-99.82221985,34.74485779999999,0.0,48460000000.0,48.46,48460000000.0,12115000000,14000000000.0,34460000000.0,8615000000,1,1.0
142,-98.75017548,35.82441712000002,0.0,48520000000.0,48.52,48520000000.0,12130000000,14000000000.0,34520000000.0,8630000000,1,3.0
143,-97.90640259,36.58257295999999,0.0,48580000000.0,48.58,48580000000.0,12145000000,14000000000.0,34580000000.0,8645000000,1,2.0
144,-97.21974945,37.279144299999984,-0.04761904761904634,48640000000.0,48.64,48640000000.0,12160000000,14000000000.0,34640000000.0,8660000000,1,2.0
145,-96.67009735,37.89808655,0.0,48700000000.0,48.7,48700000000.0,12175000000,14000000000.0,34700000000.0,8675000000,1,2.0
146,-96.34716034,37.921485859999976,0.0,48760000000.0,48.76,48760000000.0,12190000000,14000000000.0,34760000000.0,8690000000,1,3.0
147,-96.26527405,38.45075225000001,0.0,48820000000.0,48.82,48820000000.0,12205000000,14000000000.0,34820000000.0,8705000000,1,1.0
148,-96.61612701,37.95198059000002,0.04761904761905189,48880000000.0,48.88,48880000000.0,12220000000,14000000000.0,34880000000.0,8720000000,1,2.0
149,-97.01970673,37.533836320000006,0.0,48940000000.0,48.94,48940000000.0,12235000000,14000000000.0,34940000000.0,8735000000,1,1.0
150,-92.23827362,42.33596037999999,0.0,49000000000.0,49.0,49000000000.0,12250000000,14000000000.0,35000000000.0,8750000000,1,5.0
151,-97.99402618,36.601821869999995,0.0,49060000000.0,49.06,49060000000.0,12265000000,14000000000.0,35060000000.0,8765000000,1,2.0
152,-98.44226837,36.38505553000002,0.0,49120000000.0,49.12,49120000000.0,12280000000,14000000000.0,35120000000.0,8780000000,1,2.0
153,-98.82091522,35.76512142999998,0.0,49180000000.0,49.18,49180000000.0,12295000000,14000000000.0,35180000000.0,8795000000,1,3.0
154,-99.20446014,35.52201846000001,0.0,49240000000.0,49.24,49240000000.0,12310000000,14000000000.0,35240000000.0,8810000000,1,4.0
155,-99.42645264,35.577438360000016,-0.04761904761904634,49300000000.0,49.3,49300000000.0,12325000000,14000000000.0,35300000000.0,8825000000,1,2.0
156,-99.50270844,35.25299836000001,0.0,49360000000.0,49.36,49360000000.0,12340000000,14000000000.0,35360000000.0,8840000000,1,2.0
157,-99.52396393,35.32044982000001,0.0,49420000000.0,49.42,49420000000.0,12355000000,14000000000.0,35420000000.0,8855000000,1,2.0
158,-99.30838013,35.43730922000002,0.04761904761905189,49480000000.0,49.48,49480000000.0,12370000000,14000000000.0,35480000000.0,8870000000,1,2.0
159,-99.26396942,35.56175233000002,0.0,49540000000.0,49.54,49540000000.0,12385000000,14000000000.0,35540000000.0,8885000000,1,2.0
160,-98.85975647,35.771949779999986,0.0,49600000000.0,49.6,49600000000.0,12400000000,14000000000.0,35600000000.0,8900000000,1,2.0
161,-98.39617157,36.361549379999985,0.0,49660000000.0,49.66,49660000000.0,12415000000,14000000000.0,35660000000.0,8915000000,1,2.0
162,-97.84669495,36.779762250000005,0.04761904761905189,49720000000.0,49.72,49720000000.0,12430000000,14000000000.0,35720000000.0,8930000000,1,2.0
163,-97.60800171,36.82275389,0.04761904761905189,49780000000.0,49.78,49780000000.0,12445000000,14000000000.0,35780000000.0,8945000000,1,2.0
